date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:57	519544/519544	---MCZ	200	added ('OK')	text/html	etag:W/%2207c690a42cbad83eb7934145936e3f36%22	https://6509107.wixsite.com/website	6509107.wixsite.com/website.html	(from )
20:31:58	270/270	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%221bb-vSHNsUa7VWyA63DVja2Ytd/v8ts%22	https://6509107.wixsite.com/robots.txt		(from )
20:31:58	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:31:58%20GMT	https://6509107.wixsite.com/t	6509107.wixsite.com/t.1.delayed	(from https://6509107.wixsite.com/website)
20:31:59	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:31:58%20GMT	https://6509107.wixsite.com/	6509107.wixsite.com/index.html	(from https://6509107.wixsite.com/website)
20:31:59	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:31:59%20GMT	https://6509107.wixsite.com/e	6509107.wixsite.com/e.2.delayed	(from https://6509107.wixsite.com/website)
20:32:01	704/704	---MCZ	200	added ('OK')	text/xml	date:Wed,%2014%20Jan%202026%2001:32:00%20GMT	https://6509107.wixsite.com/website/blog-feed.xml	6509107.wixsite.com/website/blog-feed.xml	(from https://6509107.wixsite.com/website)
20:32:02	523583/523583	---MCZ	200	added ('OK')	text/html	etag:W/%2282ef6fc1b1dedeba46a8451d338fda0a%22	https://6509107.wixsite.com/website/privacy	6509107.wixsite.com/website/privacy.html	(from https://6509107.wixsite.com/website)
20:32:02	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:32:02%20GMT	https://6509107.wixsite.com/window.location.href	6509107.wixsite.com/window.location.5.delayed	(from https://6509107.wixsite.com/website)
20:32:03	2506/2506	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:32:03%20GMT	https://6509107.wixsite.com/sitemap.xml	6509107.wixsite.com/sitemap.6.delayed	(from https://6509107.wixsite.com/website)
20:32:04	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:32:03%20GMT	https://6509107.wixsite.com/envelope/	6509107.wixsite.com/envelope/index.html	(from https://6509107.wixsite.com/website)
20:32:04	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:32:03%20GMT	https://6509107.wixsite.com/api/	6509107.wixsite.com/api/index.html	(from https://6509107.wixsite.com/website)
20:32:04	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:32:04%20GMT	https://6509107.wixsite.com/feed.xml	6509107.wixsite.com/feed.7.delayed	(from https://6509107.wixsite.com/website)
20:32:05	2506/2506	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:32:05%20GMT	https://6509107.wixsite.com/decodeURIComponent(e	6509107.wixsite.com/decodeURIComponent(e.8.delayed	(from https://6509107.wixsite.com/website)
20:32:06	2511/2511	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:32:06%20GMT	https://6509107.wixsite.com/website/t	6509107.wixsite.com/website/t.9.delayed	(from https://6509107.wixsite.com/website/privacy)
20:32:07	2511/2511	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:32:07%20GMT	https://6509107.wixsite.com/website/e	6509107.wixsite.com/website/e.a.delayed	(from https://6509107.wixsite.com/website/privacy)
20:32:08	2507/2507	---MCZ	400	error ('Bad%20Request')	text/html	date:Wed,%2014%20Jan%202026%2001:32:08%20GMT	https://6509107.wixsite.com/website/window.location.href	6509107.wixsite.com/website/window.location.b.delayed	(from https://6509107.wixsite.com/website/privacy)
20:32:09	2505/2505	---MCZ	400	error ('Bad%20Request')	text/html	date:Wed,%2014%20Jan%202026%2001:32:09%20GMT	https://6509107.wixsite.com/website/robots.txt	6509107.wixsite.com/website/robots.c.delayed	(from https://6509107.wixsite.com/website/privacy)
20:32:11	381/381	---MCZ	200	added ('OK')	text/xml	etag:W/%2217d-RgqdWRgHl73yOqUXMlJiQ2Tn778%22	https://6509107.wixsite.com/website/sitemap.xml	6509107.wixsite.com/website/sitemap.xml	(from https://6509107.wixsite.com/website/privacy)
20:32:11	2512/2512	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2001:32:11%20GMT	https://6509107.wixsite.com/website/feed.xml	6509107.wixsite.com/website/feed.e.delayed	(from https://6509107.wixsite.com/website/privacy)
20:32:12	2508/2508	---MCZ	400	error ('Bad%20Request')	text/html	date:Wed,%2014%20Jan%202026%2001:32:12%20GMT	https://6509107.wixsite.com/website/decodeURIComponent(e	6509107.wixsite.com/website/decodeURIComponent(e.f.delayed	(from https://6509107.wixsite.com/website/privacy)
